String ID,English text,en(English),fr,es,ko(Korean),ar(Arabic),pt(Portuguese),sv-rSE(Swedish),fi-rFI(French),bg-rBG(Bulgarian),es-rES(Spanish),pl-rPL(Polish),zh-rCN(Chinese Simplified),el-rGR(Greek),de-rDE(German),th-rTH(Thai),ru-rRU(Russian),hr-rHR(Croatian),nn-rNO(Norwegian),sr-rCS,fr-rCA(French),sl-rSI(Slovenian),es-rMX,hu-rHU(Hungarian),da-rDK(Danish),uk-rUA(Ukrainian),it-rIT(Italian),tr-rTR(Turkey),ro-rRO(Romanian),en-rGB(English),en-rAU(English),cs-rCZ(Czech),nl-rNL(Dutch),sk-rSK(Slovencina),es-rUS(English),fr-rFR(French)
reminderSetUpEV,Set up Charging Station Advisor to find the best chargers that fit your needs.,Set up Charging Station Advisor to find the best chargers that fit your needs.,,,필요에 꼭 맞는 최상의 충전소를 찾도록 충전소 어드바이저를 설정하세요.,ينبغي إعداد \"المستشار الخاص بمحطات الشحن\" للعثور على محطات الشحن الأفضل التي تناسب احتياجاتك.,Configure o Assistente de estações de carregamento para encontrar os melhores carregadores adaptados às suas necessidades.,Ställ in rådgivare för laddningsstationer för att hitta det bästa laddarna som uppfyller dina behov.,Määritä latausasema- avustin löytääksesi tarpeitasi parhaiten vastaavat latausasemat.,"Настройте Съветника за зарядни станции, за да намира станциите, които най-добре отговарят на нуждите ви.",Configure el asesor de estaciones de carga para encontrar los mejores cargadores en función de sus necesidades.,"Skonfiguruj doradcę wyboru stacji ładowania, aby znajdować najlepsze stacje odpowiadające Twoim potrzebom.",设置充电站顾问以找到适合您需求的最佳充电站。,"Ρυθμίστε τη λειτουργία Σύμβουλος σταθμών φόρτισης, για να βρείτε τους καλύτερους σταθμούς φόρτισης με βάση τις ανάγκες σας.","Richten Sie den Ladestationsassistenten ein, um Ladestationen zu finden, die Ihren Bedarfen am besten entsprechen.",ตั้งที่ปรึกษาด้านสถานีชาร์จเพื่อค้นหาสถานีชาร์จที่เหมาะกับความต้องการของคุณมากที่สุด,"Настройте «Помощника по станциям зарядки» для поиска электрозаправок, соответствующих вашим потребностям.",Postavite savjetnika za stanice za punjenje kako biste pronašli najbolje stanice za punjenje koje odgovaraju vašim potrebama.,Konfigurer ladestasjonsrådgiveren for å finne de beste laderne for ditt behov.,Podesite savetnika za stanice za punjenje da biste pronašli najbolje punjače za svoje potrebe.,Configurez le conseiller de postes de recharge pour trouver les postes qui répondent le mieux à vos besoins.,"Nastavite svetovalca za polnilne postaje, ki vam bo pomagal poiskati najboljše polnilne postaje glede na vaše potrebe.",Configure el Asesor de la Estación de Carga para encontrar los mejores cargadores que se ajusten a sus necesidades.,"Állítsa be a Töltőállomás tanácsadót, hogy az igényeinek legjobban megfelelő töltőállomást találhassa meg.","Konfigurer Rådgiver for opladningsstationer for at finde de bedste opladere, der passer til dine behov.","Налаштуйте систему пошуку зарядних станцій так, щоб вона знаходила їх відповідно до ваших потреб.",Imposta i consigli sulle stazioni di carica per trovare le stazioni più adatte alle tue esigenze.,"İhtiyaçlarınıza uygun en iyi şarj istasyonlarını bulmak için, Şarj İstasyonu Danışmanı\'nın kurulumunu gerçekleştirin",Configurați Consultantul stației de încărcare pentru a găsi încărcătoarele optime care corespund nevoilor dumneavoastră.,Set up Charging Station Advisor to find the best chargers that fit your needs.,,Nastavte si Poradce pro nabíjecí stanice a najděte nejlepší stanice pro své potřeby.,Stel laadpaaladviseur in om laadpalen te vinden die uw wensen optimaal vervullen.,"Nastavte pomocníka pre nabíjacie stanice tak, aby vyhľadal najlepšie nabíjačky podľa vašich potrieb.",,Configurez le Conseiller de charge pour rechercher les chargeurs les plus adaptés à vos besoins.
removeWayPointText,Are you sure you want to remove %1$s from your trip?,Are you sure you want to remove %1$s from your trip?,,,%1$s을(를) 경로에서 삭제할까요?,هل تريد بالفعل إزالة %1$s من الرحلة؟,Tem a certeza de que deseja remover %1$s da viagem?,Vill du verkligen ta bort %1$s från rutten?,Haluatko varmasti poistaa kohteen %1$s matkastasi?,Наистина ли искате да премахнете %1$s от маршрута си?,¿Seguro que desea eliminar %1$s de su viaje?,Czy na pewno chcesz usunąć %1$s z trasy?,您是否确定要从您的行程中删除%1$s?,Είστε βέβαιοι ότι θέλετε να αφαιρέσετε το %1$s από το ταξίδι σας;,Möchten Sie %1$s wirklich aus Ihrer geplanten Route löschen?,ท่านแน่ใจหรือไม่ว่าท่านต้องการลบ %1$s \nจากการเดินทางของท่าน,Исключить %1$s из маршрута?,Želite li zaista ukloniti %1$s iz svog putovanja?,Er du sikker på at du vil fjerne %1$s fra turen?,Da li ste sigurni da želite da uklonite %1$s iz svog putovanja?,Êtes-vous sûr de vouloir supprimer %1$s de votre trajet?,"Ali ste prepričani, da želite %1$s odstraniti iz vaše poti?",¿Está seguro de que desea eliminar %1$s de su viaje?,"Biztos benne, hogy el kívánja távolítani a(z) %1$s úti célt az útitervéből?",Vil du fjerne %1$s fra din rute?,Видалити пункт призначення %1$s з вашої подорожі?,Sicuro di voler rimuovere %1$s dal viaggio?,%1$s noktasını rotadan kaldırmak istediğinizden emin misiniz?,Sunteţi sigur că doriţi să ştergeţi %1$s din traseu?,,,Skutečně chcete vymazat %1$s ze své trasy?,Weet u zeker dat u %1$s wilt verwijderen van uw route?,Naozaj chcete odstrániť cieľ %1$s zo svojej trasy?,¿Está seguro de que desea eliminar %1$s de su viaje?,Êtes-vous sûr de vouloir supprimer %1$s de votre trajet ?
removeWayPointTitle,Remove Destination,Remove Destination,Supprimer la destination,,목적지 삭제,إزالة وجهة,Remover destino,Ta bort destination,Poista määränpää,Премахване на дестинация,Eliminar destino,Usuń cel podróży,删除目的地,Αφαίρεση προορισμού,Ziel entfernen,ลบจุดหมายปลายทาง,Удаление пункта назначения,Ukloni odredište,Fjern destinasjon,Uklanjanje odredišta,,Odstrani cilj,Remover Destino,Úti cél eltávolítása,Fjern destination,Видалення пункту признач.,Rimuovi destinazione,Varış Yeri Silme,Ştergere Destinaţie,,,Smazání cíle,Bestemming verwijderen,Odstránenie cieľa,Remover Destino,
renameFavoriteTitle,Rename Favorite,Rename Favorite,,,,,Mudar o Nome do Favorito,Byt namn på Favorit,,,Renombrar favorito,Zmień nazwę Ulubionych,,Μετονομασία αγαπημένου,Favorit umbenennen,เปลี่ยนชื่อใหม่รายการโปรด,,,Gi nytt navn til favoritter,,,,,,Giv favorit nyt navn,,rinomina Preferiti,,,Rename Favourite,,,Favoriet een andere naam geven,,,Renommer les favoris
renameLabel,Rename Label,Rename Label,,,,,Renomear etiqueta,Byt namn på etikett,,,Cambiar nombre de etiqueta,Zmień nazwę etykiety,,Μετονομασία ετικέτας,Label umbenennen,เปลี่ยนชื่อป้ายกำกับ,,,Gi nytt navn til etiketten,,Renommer l\'étiquette,,,,Omdøb etiket,,Rinomina etichetta,,,,,,Naam label wijzigen,,,
renameYourRecordedRoute,Rename your recorded route.,Rename your recorded route.,,,기록된 경로 이름을 변경하십시오.,أعِد تسمية مسارك المسجّل.,Mude o nome do trajeto gravado.,Byt namn på din registrerade rutt.,Nimeä jäljitetty reitti uudelleen.,Преименувайте записания си маршрут.,Cambie el nombre de la ruta grabada.,Zmień nazwę zarejestrowanej trasy.,重命名您记录的路线。,Μετονομάστε τη διαδρομή που καταγράφηκε.,Benennen Sie Ihre aufgezeichnete Strecke um.,เปลี่ยนชื่อเส้นทางที่บันทึกไว้ของคุณ,Укажите имя записанного маршрута.,Preimenujte svoju snimljenu rutu.,Gi nytt navn til registrert rute.,Preimenujte snimljenu rutu.,Renommez votre itinéraire sauvegardé.,Preimenujte svojo posneto pot.,Vuelva a nombrar su ruta registrada.,Rögzített útvonal átnevezése,Omdøb den registrerede rute.,Змініть назву записаного маршруту.,Rinominare percorso registrato.,Kaydedilen rotanızı yeniden adlandırın.,Redenumiți-vă traseul înregistrat.,,,Přejmenujte svou zaznamenanou trasu.,Wijzig de naam van uw opgenomen route.,Premenujte zaznamenanú trasu.,Renombrar su ruta registrada,Renommez votre itinéraire enregistré.
renewSubscriptionLabel,Renew Subscription,Renew Subscription,,,서비스 재가입,تجديد الاشتراك,Renovar subscrição,Förnya abonnemang,Uusi tilaus,Поднови абонамент,Renovar suscripción,Odnów subskrypcję,续订,Ανανέωση συνδρομής,Abo verlängern,ต่ออายุการเป็นสมาชิก,Продлить подписку,Obnovi pretplatu,Fornye abonnement,Obnovi pretplatu,Renouveler abonnement,Podaljšajte naročnino,Renovar Suscripción,Előfizetés megújítása,Forny abonnement,Поновити підписку,Rinnova sottoscrizione,Aboneliği Yenile,Reînnoire abonament,,,Prodloužit předplatné,Abonnement verlengen,Obnoviť prihlásenie,,Se réabonner
renewSubscriptionOnStar,Renew your subscription through %1$s.,Renew your subscription through %1$s.,,,OnStar로 사용을 추가하세요,جدّد اشتراكك بواسطة OnStar.,Renove a subscrição na OnStar.,Förläng din prenumeration hos OnStar.,Uudista tilauksesi OnStarin kautta.,Подновете абонамента си чрез OnStar.,Renueve su suscripción con OnStar.,Odnów subskrypcję przez OnStar.,请通过安吉星续订。,Ανανεώστε τη συνδρομή σας μέσω OnStar.,Erneuern Sie Ihr Abo über OnStar.,ต่ออายุการเป็นสมาชิกของคุณผ่าน OnStar,Продлите подписку через OnStar.,Obnovite pretpl. putem servisa OnStar.,Forny abonnementet gjennom OnStar.,Obnovite pretplatu preko OnStar-a.,Renouvelez abonnement via OnStar.,Podaljšajte naročnino prek OnStar.,Renueve su subscripción en OnStar.,Újítsa meg OnStar előfizetését.,Forny dit abonnement via OnStar.,Поновити підписку через OnStar.,Rinnova l\'abbonamento tramite OnStar.,Aboneliğinizi OnStar ile yenileyin.,Reînnoiți abonamentul prin OnStar.,,,Prodlužte si předplatné služeb OnStar.,Verleng uw abonnement via OnStar.,Obnovte si predplatné cez OnStar.,Renueve su subscripción en OnStar.,Renouvelez votre abonnem. via OnStar
renewSubscriptionWarning,"Without Connected Navigation service, you will lose Traffic, Smart Search/Routing, and Predictive Navigation capabilities.\nRenew subscription?","Without Connected Navigation service, you will lose Traffic, Smart Search/Routing, and Predictive Navigation capabilities.\nRenew subscription?",,,"Connected Navigation 서비스를 사용하지 않으면 교통 정보, 스마트 검색/경로 설정 및 예측형 내비게이션 등의 기능을 사용할 수 없습니다.\n서비스를 갱신하시겠습니까?",بدون خدمة Connected Navigation، سوف تفقد إمكانية استخدام ميزات \"حركة المرور\" و\"البحث/تحديد المسار الذكي\" و\"التجوال التنبئي\".\nهل ترغب في تجديد الاشتراك؟,"Sem o serviço Connected Navigation, perderá o acesso às funcionalidades Trânsito, Pesquisa/Percurso inteligente e Navegação preditiva.\nDeseja renovar a subscrição?","Utan Connected Navigation-tjänsten får du inte tillgång till Trafik, Smart sökning/vägbeskrivning och Prediktiv navigation.\nVill du förnya prenumerationen?","Connected Navigation -palvelu tarjoaa käyttöösi liikennetiedot, älykkään haun/reitityksen ja ennakoivan navigoinnin.\nUusitaanko tilaus?","Без услугата Connected Navigation ще изгубите способностите за трафик, умно търсене/избор на маршрут и интелигентна навигация.\nПодновявате ли абонамента си?","Sin servicio de Connected Navigation, perderá las funciones de Tráfico, Búsqueda inteligente/Ruta y navegación predictiva. ¿Renovar la suscripción?","Gdy usługa Connected Navigation wygaśnie, utracisz dostęp do informacji o ruchu drogowym, inteligentnego wyszukiwania/wyznaczania trasy i nawigacji przewidującej.\nOdnowić subskrypcję?",没有Connected Navigation服务，您将无法使用交通、智能搜索/路线规划和预测导航等功能。\n续订？,"Χωρίς την υπηρεσία Connected Navigation της, οι λειτουργίες Κυκλοφορίας, Έξυπνης αναζήτησης/δρομολόγησης και Πλοήγησης με πρόβλεψη δεν θα είναι πλέον ενεργές.\nΘέλετε να ανανεώσετε τη συνδρομή σας;","Ohne den Service von Connected Navigation gehen Verkehrsfunktionen, intelligente Suche/Wegeführung und vorausschauende Navigation verloren.\nAbo erneuern?","หากไม่มีบริการ Connected Navigation คุณจะไม่มีข้อมูลการจราจร, การแนะนำเส้นทาง/ค้นหาแบบสมาร์ท และความสามารถของ Predictive Navigation\nต่ออายุการสมัครสมาชิกใหม่หรือไม่","Без услуги Connected Navigation вы не будете иметь доступа к функциям «Дорожная обстановка», «Быстрый поиск/Прокладка маршрута» и «Прогнозирование маршрута».\nПродлить подписку?","Bez usluge Connected Navigation izgubit ćete pristup značajkama Promet, Pametno pretraživanje/izrada rute i Predvidljiva navigacija.\nŽelite li obnoviti pretplatu?","Uten Connected Navigation-tjenesten vil du miste muligheter for trafikk, smartsøk/ruteveiledning og forutsigende navigering.\nVil du fornye abonnementet?","Bez usluge Connected Navigation izgubićete podršku za informacije o saobraćaju, pametnu pretragu / kreiranje ruta i prediktivnu navigaciju.\nObnoviti pretplatu?","Sans le service Connected Navigation, vous n\'aurez plus accès aux capacités relatives à la circulation, à la recherche/itinéraire intelligent et à la navigation prédictive.\nSouhaitez-vous renouveler l\'abonnement?","Brez storitve Connected Navigation boste izgubili funkcije Promet, Pametno iskanje/iskanje poti in Navigacija s predvidevanjem.\nAli želite podaljšati naročnino?","Sin el servicio de Connected Navigation, perderá las capacidades de Tráfico, Búsqueda/Planificación de Ruta Inteligente, y Navegación Predictiva.\n¿Renovar suscripción?","Az Connected Navigation szolgáltatás nélkül nem használhatja a Forgalom, Intelligens keresés/Útvonaltervezés és a Prediktív navigáció funkciókat.\nMegújítja az előfizetését?","Uden tjenesten Connected Navigation vil du miste muligheden for at se trafik, smartsøgning/-rutning og adaptiv navigation.\nForny abonnement?","Без служби Connected Navigation стануть недоступними такі функції: дорожній рух, розумний пошук/побудова маршрутів і предиктивна навігація.\nПоновити передплату?","Il mancato rinnovo del servizio Connected Navigation comporterà la perdita delle funzioni di informazioni sul traffico, ricerca e percorso intelligente e navigazione predittiva.\nRinnovare l\'abbonamento?","Connected Navigation servisi olmadığında Trafik, Akıllı Arama/Rota ve Tahminli Navigasyon özellikleri kaybolacaktır.\nAbonelik yenilensin mi?","Fără serviciul Connected Navigation veți pierde funcțiile Trafic, Căutare/traseu inteligent și Navigație Predictivă.\nReînnoiți abonamentul?",,,"Bez služby Connected Navigation ztratíte přístup k dopravním informacím, k inteligentnímu hledání a plánování tras a k předvídavé navigaci.\nChcete předplatné prodloužit?","Zonder de Connected Navigation-service beschikt u niet meer over de functies voor verkeersinformatie, Smart Search/Routing en voorspellende navigatie.\nAbonnement verlengen?","Bez služby Connected Navigation prídete o funkcie Premávka, Inteligentné vyhľadávanie/trasy a Prediktívna navigácia.\nObnoviť predplatné?","Sin el servicio de Connected Navigation, perderá las capacidades de Tráfico, Búsqueda/Planificación de Ruta Inteligente, y Navegación Predictiva.\n¿Renovar suscripción?","Sans la Connected Navigation, vous ne pourrez plus accéder aux fonctionnalités Trafic, Recherche intelligente/Itinéraire et Navigation prédictive.\nRenouveler l\'abonnement ?"
renewToUpdateMap,Please renew your plan through %1$s to update your map.,Please renew your plan through %1$s to update your map.,,,지도를 업데이트하려면 OnStar로 사용을 추가하세요,يُرجى تجديد خطتك بواسطة OnStar بغية تحديث الخريطة خاصتك.,Renove o plano na OnStar para atualizar o mapa.,Förläng prenumerationen hos OnStar om du vill uppdatera kartan.,Uudista pakettisi OnStarin kautta kartan päivittämiseksi.,"Моля, подновете плана си през OnStar, за да актуализирате картата си.",Renueve su plan a través de OnStar para actualizar su mapa.,"Odnów plan przez OnStar, aby zaktualizować mapę.",请通过安吉星续订您的计划以更新地图。,Παρακαλώ ανανεώστε το πρόγραμμά σας μέσω %1$s για να ενημερωθεί ο χάρτης σας.,"Bitte erneuern Sie Ihr Abonnement über OnStar, um Ihre Navigations- Karte aktualisieren zu können.",โปรดต่ออายุแผนการใช้งานของคุณผ่าน OnStar\nเพื่ออัพเดตแผนที่ของคุณ,"Продлите подписку через OnStar, чтобы обновить карту.",Za ažuriranje karte obnovite pretplatu putem servisa OnStar.,Forny planen gjennom OnStar for å oppdatere kartet.,Obnovite paket putem OnStar-a da biste ažurirali svoju mapu.,Veuillez renouveler votre plan via OnStar pour procéder à la mise à jour de la carte.,"Podaljšajte naročnino prek OnStar, da boste lahko posodobili zemljevid.",Por favor renueve su plan a través de OnStar para actualizar su mapa.,"Térképének frissítéséhez kérjük, újítsa meg előfizetését az OnStar segítségével.",Forny dit abonnement via OnStar for at opdatere dit kort.,"Щоб оновити мапу, поновіть свій план через OnStar.",Rinnovare il piano tramite OnStar per aggiornare la mappa.,Lütfen OnStar ile planınızı yenileyerek haritayı güncelleyin.,"Pentru actualizarea hărții, reînnoiți-vă abonamentul prin intermediul OnStar.",,,"Chcete-li aktualizovat mapu, prodlužte si tarif služeb OnStar.",Verleng uw abonnement via OnStar om uw kaart te updaten.,"Obnovte si predplatné cez OnStar, aby ste mohli aktualizovať mapu.",Por favor renueve su plan a través de OnStar para actualizar su mapa.,Veuillez renouveler votre forfait via OnStar pour mettre à jour votre carte.
renewYourSubscriptionByCall,"Without Connected Navigation service, you will lose Traffic, Smart Search/Routing, and Predictive Navigation capabilities.\nRenew your subscription by calling an Advisor?","Without Connected Navigation service, you will lose Traffic, Smart Search/Routing, and Predictive Navigation capabilities.\nRenew your subscription by calling an Advisor?",,,"Connected Navigation 서비스를 사용하지 않으면 지도 업데이트, 교통 정보, 스마트 검색/경로 설정 및 예측형 내비게이션을 사용할 수 없습니다.\n어드바이저에게 전화해 서비스를 갱신하시겠습니까?",بدون خدمة Connected Navigation، سوف تفقد إمكانية استخدام ميزات \"حركة المرور\" و\"البحث/تحديد المسار الذكي\" و\"التجوال التنبئي\".\nهل تريد الاتصال بأحد المستشارين لتجديد اشتراكك؟,"Sem o serviço Connected Navigation, perderá o acesso às funcionalidades Trânsito, Pesquisa/Percurso inteligente e Navegação preditiva.\nDeseja renovar a sua subscrição ligando para um Assistente?","Utan Connected Navigation-tjänsten får du inte tillgång till Trafik, Smart sökning/vägbeskrivning och Prediktiv navigation.\nVill du förnya genom att ringa en rådgivare?","Connected Navigation -palvelu tarjoaa käyttöösi liikennetiedot, älykkään haun/reitityksen ja ennakoivan navigoinnin.\nHaluatko uusia tilauksen soittamalla henkilökohtaiselle avustajalle?","Без услугата Connected Navigation ще изгубите способностите за трафик, умно търсене/избор на маршрут и интелигентна навигация.\nЩе подновите ли с помощта на Съветник?","Sin el servicio de Connected Navigation, perderá las funciones de Tráfico, Búsqueda inteligente/Ruta y  Navegación predictiva. ¿Renovar la suscripción llamando a un Asesor?","Gdy usługa Connected Navigation wygaśnie, utracisz dostęp do informacji o ruchu drogowym, inteligentnego wyszukiwania/wyznaczania trasy i nawigacji przewidującej.\nPołączyć z doradcą, aby odnowić subskrypcję?",没有Connected Navigation服务，您将无法使用交通、智能搜索/路线规划和预测导航等功能。\n联系客服顾问续订？,"Χωρίς την υπηρεσία Connected Navigation της, οι λειτουργίες Κυκλοφορίας, Έξυπνης αναζήτησης/δρομολόγησης και Πλοήγησης με πρόβλεψη δεν θα είναι πλέον ενεργές.\nΑνανέωση της συνδρομ. σας μέσω ενός Συμβούλου;","Ohne den Service von Connected Navigation gehen Verkehrsfunktionen, intelligente Suche/Wegeführung und vorausschauende Navigation verloren. Einen Berater anrufen, um Ihr Abo zu erneuern?","หากไม่มีบริการ Connected Navigation คุณจะไม่มีข้อมูลการจราจร, การแนะนำเส้นทาง/ค้นหาแบบสมาร์ท และความสามารถของ Predictive Navigation ต่ออายุการสมัครสมาชิกใหม่โดยโทรหาเจ้าหน้าที่หรือไม่","Без услуги Connected Navigation вы не будете иметь доступа к функциям «Дорожная обстановка», «Быстрый поиск/Прокладка маршрута» и «Прогнозирование маршрута».\nПродлить подписку, позвонив консультанту?","Bez usluge Connected Navigation izgubit ćete pristup značajkama Promet, Pametno pretraživanje/izrada rute i Predvidljiva navigacija.\nŽelite li obnoviti pretplatu pozivom savjetniku?","Uten Connected Navigation-tjenesten vil du miste muligheter for trafikk, smartsøk/ruteveiledning og forutsigende navigering.\nFornye abonnementet ved å ringe en rådgiver?","Bez usluge Connected Navigation izgubićete podršku za informacije o saobraćaju, pametnu pretragu / kreiranje ruta i prediktivnu navigaciju.\nObnoviti pretplatu pozivanjem Savetnika?","Sans le service Connected Navigation, vous n\'aurez plus accès aux capacités relatives à la circulation, à la recherche/itinéraire intelligent et à la navigation prédictive.\nSouhaitez-vous renouveler votre abonnement en appelant un conseiller?","Brez storitve Connected Navigation boste izgubili funkcije Promet, Pametno iskanje/iskanje poti in Navigacija s predvidevanjem. Želite\npoklicati svetovalca in podaljšati naročnino?","Sin servicio de Connected Navigation, perderá las capacidades de Tráfico, Búsqueda/Planificación de Ruta Inteligente y Navegación Predictiva. ¿Renueva\nsu suscripción llamando a un Asesor?","Az Connected Navigation szolgáltatás nélkül nem használhatja a Forgalom, Intelligens keresés/Útvonaltervezés és a Prediktív navigáció funkciókat.\nMegújítja az előfizetést egy tanácsadóval?","Uden tjenesten Connected Navigation vil du miste muligheden for at se trafik, smartsøgning/-rutning og adaptiv navigation\nForny dit abonnement ved at kontakte en rådgiver?","Без служби Connected Navigation стануть недоступними такі функції: дорожній рух, розумний пошук/побудова маршрутів і предиктивна навігація. Зателефону-\nвати консультанту і поновити передплату?","Il mancato rinnovo del servizio Connected Navigation comporterà la perdita delle funzioni di informazioni sul traffico, ricerca e percorso intelligente e navigazione predittiva.\nContattare l\'operatore per rinnovare?","Connected Navigation servisi olmadığında Trafik, Akıllı Arama/Rota ve Tahminli Navigasyon özellikleri kaybolacaktır.\nBir Danışmanı arayarak aboneliğinizi yenilemek ister misiniz?","Fără serviciul Connected Navigation veți pierde funcțiile Trafic, Căutare/traseu inteligent și Navigație Predictivă.\nReînnoiți abonamentul apelând un consult.?",,,"Bez služby Connected Navigation nemáte přístup k dopravním informacím, k inteligentnímu hledání a plánování tras ani k předvídavé navigaci.\nChcete předplatné obnovit a zavolat poradci?","Zonder de Connected Navigation-service beschikt u niet meer over de functies voor verkeersinformatie, Smart Search/Routing en voorspellende navigatie.\nAdviseur bellen om abonnement te verlengen?","Bez služby Connected Navigation prídete o funkcie Premávka, Inteligentné vyhľadávanie/trasy a Prediktívna navigácia.\nKontaktovať pomocníka a obnoviť predplatné?","Sin servicio de Connected Navigation, perderá las capacidades de Tráfico, Búsqueda/Planificación de Ruta Inteligente y Navegación Predictiva. ¿Renueva\nsu suscripción llamando a un Asesor?","Sans la Connected Navigation, vous ne pourrez plus accéder aux fonctionnalités Trafic, Recherche intelligente/Itinéraire et Navigation prédictive. Renouveler votre abonnement en appelant un conseiller ?"
requiresFTUEMessage,Navigation use requires you to accept the following agreements.  You can only view the details and accept when stopped.,Navigation use requires you to accept the following agreements.  You can only view the details and accept when stopped.,,,내비게이션을 사용하려면 다음 계약서에 동의해야 합니다. 정차 후 세부 사항을 확인하고 동의하세요.,ينبغي قبول الاتفاقيات التالية بغية استخدام نظام التجوال. يمكنك فقط عرض التفاصيل حالياً ويجب إيقاف السيارة كي تتمكن من قبول تلك الاتفاقيات.,"Para utilizar a navegação, tem de aceitar os acordos a seguir. Apenas pode ver os detalhes e aceitar quando parado.",Du måste godkänna följande avtal för att kunna använda navigationen. Du kan endast visa detaljerna och godkänna när fordonet står stilla.,"Navigoinnin käyttö edellyttää, että hyväksyt seuraavat sopimukset. Voit tarkastella tietoja ja hyväksyä ne vain pysähdyksissä.","За да използвате навигацията, трябва да приемете следните споразумения. Можете да ги приемете само в спряло положение.",El uso de la navegación requiere que acepte los siguientes acuerdos. Solo puede ver los detalles y aceptar cuando esté parado.,"Korzystanie z nawigacji wymaga zaakceptowania poniższych umów. Aby wyświetlić i zaakceptować warunki umów, musisz zatrzymać pojazd.",使用导航需要接受以下协议。仅可在停车时查看详细信息并接受协议。,Η χρήση του συστήματος πλοήγησης προϋποθέτει αποδοχή των παρακάτω. Προβολή και αποδοχή λεπτομερειών εφικτή μόνο σε στάση.,Zum Verwenden der Navigation bitte Vereinbarungen akzeptieren. Details ansehen und Akzeptieren ist nur bei stehendem Fahrzeug mgl.,ในการใช้งานระบบนำทาง ท่านจำเป็นต้องยอมรับข้อตกลงดังต่อไปนี้ ท่านสามารถเรียกดูรายละเอียดและยอมรับข้อตกลงได้เมื่อหยุดรถเท่านั้น,Для использования навигации примите следующие соглашения. Просмотреть и принять условия можно только во время остановки.,Za upotrebu navigacije morate prihvatiti sljedeće ugovore. Možete samo pregledati pojedinosti i prihvatiti ih kad zaustavite vozilo.,Bruk av navigasjon krever at du aksepterer følgende avtaler. Du kan bare se informasjoner og akseptere når bilen står stille.,Za korišćenje navigacije neophodno je da prihvatite sledeće ugovore. Pregled detalja i potvrda mogući su samo kada je vozilo zaustavljeno.,L\'utilisation de la nav. exige que vous acceptiez les ententes suivantes. Vous pouvez simplement afficher les détails et accepter une fois arrêté.,"Za uporabo navigacije morate sprejeti naslednje sporazume. Podrobnosti si lahko ogledate in sporazume sprejmete, ko vozilo miruje.",El uso de la navegación requiere que usted acepte los siguientes acuerdos. Sólo puede ver los detalles y aceptar cuando se detenga.,A navigáció használatához el kell fogadnia a következő nyilatkozatokat. Csak megállás után tekintheti meg a részleteket és fogadhatja el azokat.,"Brugen af navigation kræver, at du accepterer følgende aftaler. Du kan kun se oplysningerne og acceptere dem, når bilen er standset.","Для користування навігаційною системою прийміть угоди нижче. Щоб переглянути деталі й прийняти угоди, зупиніть автомобіль.",Per utilizzare il navigatore occorre accettare i contratti seguenti. Per visualizzare i dettagli e accettare il veicolo deve essere fermo.,Navigasyon işlevini kullanabilmek için şu anlaşmaları kabul etmeniz gerekir. Anlaşma içeriğini aracı durdurduktan sonra görebilirsiniz.,Pentru folosirea navigației trebuie să acceptați următoarele acorduri de utilizare. Puteți vizualiza detaliile și accepta când opriți.,,,"Chcete-li používat navigaci, musíte souhlasit s následujícím ujednáním. Zobrazit podrobnosti a odsouhlasit ujednání lze až po zastavení vozidla.","Om de navigatie te gebruiken, moet u akkoord gaan met de volgende voorwaarden. U kunt ze alleen bij stilstand bekijken en goedkeuren.","Ak chcete používať navigáciu, musíte súhlasiť s nasledujúcimi ustanoveniami. Zobraziť podrobnosti a súhlasiť môžete až po zastavení.",El uso de la navegación requiere que usted acepte los siguientes acuerdos. Sólo puede ver los detalles y aceptar cuando se detenga.,"Pour utiliser la navigation, vous devez accepter les accords suivants. Vous ne pouvez afficher et accepter les détails qu\'à l\'arrêt."
